Ingredient,Carbon Footprint
swardfish,12.838
swede,0.29
sweet potato,0.27
tangerin,0.384545
tempe,1.1
tofu,2.635
tomato,1.233655792
tomato & basil,1.1415
tomato arrabbiata,1.244
tomatoes,1.4
triticale grain,0.53554457
trout,4.2875
tuna,3.1578125000000004
tuna in can,2.1
turbot,14.5136
turkey,4.010013808999999
turnip,0.35
vanilla,4.3
veal,9.913173
vegetables,0.535
vining pea,0.39562345
walnut,1.5453512799999998
watermelon,0.52
wheat,0.5715
wheat plain flour,0.52
white wine,0.4444
whiting,2.6632
whole wheat flour,0.3647164179
wholegrain crackers,0.9725
wine,1.4
winter pea,0.38356449
wool,4.2131137
yeast,1.5403333333333336
yellowfin tuna,1.8867815
yogurt,2.6710666666666665
zucchini,0.5933596475
